run_id,run_name,state,sweep_id,created_at,model,seed,lr,wd,epochs,batch_size,dice_weight,dataset_length,early_stop_patience,burn_in,val_every,link,depth,start_filters,max_rot_order,group_order,activation_type,fourier_N,fourier_function,kernel_size,conv_sigma,up_mode,total_params,val_DetA,val_Recall,val_DetA_ann1,val_DetA_ann2,val_Recall_ann1,val_Recall_ann2,test_DetA,test_Recall,test_HOTA,test_AssA,test_DetA_ann1,test_DetA_ann2,test_HOTA_ann1,test_HOTA_ann2,test_AssA_ann1,test_AssA_ann2
rr2awk2q,solar-sweep-23,finished,,2026-04-23T22:03:54Z,,,,,,,,,,,,,,,,,,,,,,,121391,0.809913158416748,0.8363348841667175,0.8210940361022949,0.8202654719352722,0.8238049149513245,0.8693171739578247,0.7824376821517944,,0.7067365050315857,0.6383594274520874,0.7824376821517944,,0.7067365050315857,,0.6383594274520874,
bk58j9a8,prime-sweep-24,finished,,2026-04-23T22:04:05Z,,,,,,,,,,,,,,,,,,,,,,,93152,0.8129984140396118,0.7893716096878052,0.8335820436477661,0.8131726384162903,0.7751839756965637,0.8128781318664551,0.8035102486610413,,0.7223963141441345,0.6494708061218262,0.8035102486610413,,0.7223963141441345,,0.6494708061218262,
a7zybibl,decent-sweep-25,finished,,2026-04-23T22:44:22Z,,,,,,,,,,,,,,,,,,,,,,,69456,0.8078373074531555,0.8351094126701355,0.8243971467018127,0.8124667406082153,0.8203850984573364,0.8673292994499207,0.8152465224266052,,0.7303257584571838,0.6542508006095886,0.8152465224266052,,0.7303257584571838,,0.6542508006095886,
mq4t2gev,youthful-sweep-26,finished,,2026-04-23T22:44:38Z,,,,,,,,,,,,,,,,,,,,,,,47854,0.799762487411499,0.8368550539016724,0.8106281757354736,0.8074533939361572,0.8227640986442566,0.8713915348052979,0.7826555967330933,,0.7244189977645874,0.6705157160758972,0.7826555967330933,,0.7244189977645874,,0.6705157160758972,
4mjod6iu,sweet-sweep-27,finished,,2026-04-23T23:21:45Z,,,,,,,,,,,,,,,,,,,,,,,29620,0.8011767268180847,0.8253016471862793,0.8132803440093994,0.8092145323753357,0.8129507303237915,0.8538461327552795,0.7985879778862,,0.7129306197166443,0.6364609599113464,0.7985879778862,,0.7129306197166443,,0.6364609599113464,
l39zsy5n,vibrant-sweep-28,finished,,2026-04-23T23:21:50Z,,,,,,,,,,,,,,,,,,,,,,,18005,0.8005152344703674,0.8140785694122314,0.8158714175224304,0.8063682913780212,0.7994944453239441,0.8430423736572266,0.7881621718406677,,0.7004365921020508,0.622475266456604,0.7881621718406677,,0.7004365921020508,,0.622475266456604,
kd72l9s6,summer-sweep-29,finished,,2026-04-23T23:55:05Z,,,,,,,,,,,,,,,,,,,,,,,488892,0.812377393245697,0.8233575224876404,0.8279362320899963,0.819229006767273,0.8089361190795898,0.8537597060203552,0.7993006706237793,,0.7153226137161255,0.6401677131652832,0.7993006706237793,,0.7153226137161255,,0.6401677131652832,
ansb7njc,gallant-sweep-30,finished,,2026-04-23T23:57:43Z,,,,,,,,,,,,,,,,,,,,,,,430329,0.8091465830802917,0.8587350845336914,0.8238286375999451,0.8168927431106567,0.842167854309082,0.9006914496421814,0.7802162170410156,,0.6992656588554382,0.6267140507698059,0.7802162170410156,,0.6992656588554382,,0.6267140507698059,
j6b4fn9n,clear-sweep-31,finished,,2026-04-24T00:53:19Z,,,,,,,,,,,,,,,,,,,,,,,373168,0.8123108744621277,0.8715726733207703,0.8283630013465881,0.8199630975723267,0.8535425066947937,0.9138288497924804,0.8093782067298889,,0.7230757474899292,0.6459755897521973,0.8093782067298889,,0.7230757474899292,,0.6459755897521973,
girmeibv,fearless-sweep-32,finished,,2026-04-24T00:55:08Z,,,,,,,,,,,,,,,,,,,,,,,322249,0.8148963451385498,0.8332433104515076,0.8360841274261475,0.8144010901451111,0.8217232823371887,0.8649092316627502,0.8110723495483398,,0.7205409407615662,0.6401146054267883,0.8110723495483398,,0.7205409407615662,,0.6401146054267883,
4rvc1p73,sunny-sweep-33,finished,,2026-04-24T01:49:31Z,,,,,,,,,,,,,,,,,,,,,,,273389,0.8143579959869385,0.8217043280601501,0.8264156579971313,0.8174785375595093,0.8074492812156677,0.8676750063896179,0.7999785542488098,,0.7204700708389282,0.6488638520240784,0.7999785542488098,,0.7204700708389282,,0.6488638520240784,
